date,product_id,product_category,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,day_of_week,month,supplier_lead_days
10-11-2023,P007,Electronics,,14502.61,118,60,0,0,4,11,14
05-01-2022,P024,Electronics,,2685.45,136,58,0,0,2,1,2
10-01-2022,P017,Electronics,,19246.05,133,59,0,0,0,1,7
21-08-2023,P004,Apparel,,3346.13,157,40,0,0,0,8,14
08-08-2022,P036,Beauty,,982.69,59,22,0,0,0,8,8
16-06-2023,P036,Beauty,,961.89,42,22,0,0,4,6,8
30-06-2023,P031,Apparel,,724.86,150,47,0,0,4,6,13
15-11-2022,P006,Electronics,,10319.27,318,79,0,0,1,11,13
21-09-2022,P002,Sports,,5828.18,141,55,0,0,2,9,9
02-08-2022,P038,Electronics,,13365.13,125,52,0,0,1,8,4
20-01-2022,P042,Apparel,,1189.03,35,31,0,0,3,1,8
10-07-2022,P024,Electronics,,2798,72,58,0,0,6,7,2
23-01-2022,P038,Electronics,,13132.17,231,52,0,0,6,1,4
24-02-2023,P022,Electronics,,14422.42,85,34,0,0,4,2,11
27-01-2022,P041,Electronics,,17840.32,92,68,0,0,3,1,2
25-02-2022,P017,Electronics,,19319.98,106,59,0,0,4,2,7
27-12-2022,P015,Electronics,,12624.9,156,52,0,0,1,12,8
28-08-2023,P009,Apparel,,3470.99,62,43,0,0,0,8,2
31-10-2023,P030,Electronics,,23322.22,84,64,0,0,1,10,10
04-05-2023,P049,Apparel,,1143.34,59,23,0,0,3,5,8
31-10-2022,P043,Electronics,,13124.53,125,68,0,0,0,10,6
27-05-2023,P006,Electronics,,10509.78,88,79,0,0,5,5,13
26-02-2022,P024,Electronics,,2708.25,136,58,0,0,5,2,2
07-04-2023,P009,Apparel,,3468.01,108,43,0,0,4,4,2
18-01-2023,P042,Apparel,,1181.26,64,31,0,0,2,1,8
26-02-2023,P022,Electronics,,13654.24,67,34,0,0,6,2,11
30-01-2023,P023,Electronics,,2557.59,120,32,0,0,0,1,4
02-07-2022,P008,Beauty,,1993.14,89,20,0,0,5,7,10
30-03-2022,P034,Sports,,2471.93,85,52,0,0,2,3,2
05-10-2022,P013,Beauty,,2346.57,161,77,1,42.8,2,10,10
09-01-2023,P049,Apparel,,1135.15,100,23,0,0,0,1,8
24-08-2023,P031,Apparel,,735.67,116,47,0,0,3,8,13
28-05-2022,P005,Electronics,,8173.01,94,72,0,0,5,5,9
14-02-2022,P016,Electronics,,9072.65,47,43,0,0,0,2,6
24-11-2022,P029,Apparel,,1293.59,103,41,0,0,3,11,13
26-08-2023,P016,Electronics,,9215.17,82,43,0,0,5,8,6
28-10-2023,P036,Beauty,,988.61,27,22,0,0,5,10,8
30-04-2022,P020,Electronics,,19250.22,181,45,0,0,5,4,8
11-10-2022,P016,Electronics,,8935.28,81,43,0,0,1,10,6
25-11-2022,P011,Electronics,,6547.46,103,27,1,35.7,4,11,4
23-03-2022,P024,Electronics,,2778.16,60,58,0,0,2,3,2
12-01-2022,P012,Sports,,4915.18,191,78,0,0,2,1,6
02-09-2022,P016,Electronics,,9393.78,91,43,0,0,4,9,6
03-01-2022,P037,Electronics,,5681.45,69,46,0,0,0,1,10
10-02-2022,P007,Electronics,,14725.86,90,60,0,0,3,2,14
15-08-2023,P008,Beauty,,2087.85,46,20,0,0,1,8,10
23-08-2023,P022,Electronics,,13786.77,151,34,0,0,2,8,11
30-01-2022,P011,Electronics,,6703.25,49,27,0,0,6,1,4
13-04-2023,P005,Electronics,,8345.03,303,72,0,0,3,4,9
15-04-2023,P048,Apparel,,1939.74,103,51,0,0,5,4,7
07-11-2023,P030,Electronics,,23382.9,247,64,0,0,1,11,10
16-11-2023,P044,Sports,,2093.24,93,36,0,0,3,11,12
14-04-2023,P023,Electronics,,2605.83,79,32,0,0,4,4,4
11-05-2023,P021,Apparel,,2806.89,67,58,0,0,3,5,12
05-05-2022,P034,Sports,,2475.69,74,52,0,0,3,5,2
26-02-2022,P042,Apparel,,1154.39,119,31,0,0,5,2,8
12-01-2023,P033,Electronics,,9325.1,80,74,0,0,3,1,13
11-02-2023,P007,Electronics,,14685.68,143,60,0,0,5,2,14
25-10-2023,P021,Apparel,,2709.36,202,58,0,0,2,10,12
09-12-2022,P003,Home,,4803.43,149,79,0,0,4,12,10
13-10-2022,P009,Apparel,,3559.33,100,43,0,0,3,10,2
21-02-2022,P024,Electronics,,2724.98,165,58,0,0,0,2,2
01-03-2022,P040,Apparel,,1397.14,241,51,0,0,1,3,9
19-10-2022,P039,Home,,2669.47,157,43,0,0,2,10,12
19-10-2022,P032,Electronics,,6993.45,90,39,0,0,2,10,12
05-06-2022,P004,Apparel,,3367.97,142,40,0,0,6,6,14
13-02-2023,P022,Electronics,,14268.16,103,34,0,0,0,2,11
05-05-2022,P005,Electronics,,8335.4,159,72,0,0,3,5,9
09-12-2023,P035,Sports,,1714.5,117,76,0,0,5,12,5
10-05-2022,P011,Electronics,,6606.6,93,27,0,0,1,5,4
11-12-2023,P015,Electronics,,12103.96,130,52,0,0,0,12,8
18-11-2022,P049,Apparel,,1140.44,86,23,0,0,4,11,8
30-10-2022,P001,Electronics,,23977.11,131,45,0,0,6,10,13
29-10-2022,P029,Apparel,,1324.52,100,41,0,0,5,10,13
24-06-2023,P012,Sports,,4943.76,235,78,0,0,5,6,6
06-06-2023,P018,Apparel,,3142.68,41,20,0,0,1,6,4
10-10-2022,P008,Beauty,,2064.4,0,20,0,0,0,10,10
07-02-2022,P011,Electronics,,6431.71,76,27,0,0,0,2,4
16-12-2023,P014,Electronics,,23671.24,69,28,0,0,5,12,9
07-07-2022,P043,Electronics,,13561.7,199,68,0,0,3,7,6
18-05-2022,P032,Electronics,,6860.77,69,39,0,0,2,5,12
24-01-2022,P006,Electronics,,9925.95,262,79,0,0,0,1,13
25-08-2023,P014,Electronics,,22456.03,52,28,0,0,4,8,9
10-04-2023,P001,Electronics,,24194.61,191,45,0,0,0,4,13
22-06-2022,P045,Electronics,,16290.79,30,21,0,0,2,6,13
17-02-2022,P009,Apparel,,3539.98,112,43,0,0,3,2,2
17-08-2023,P038,Electronics,,13271.59,58,52,0,0,3,8,4
18-11-2023,P002,Sports,,5630.07,-154,55,0,0,5,11,9
02-04-2022,P028,Apparel,,1111,168,51,0,0,5,4,8
29-09-2023,P018,Apparel,,3145.01,36,20,0,0,4,9,4
08-05-2022,P033,Electronics,,9549.78,249,74,0,0,6,5,13
20-09-2022,P012,Sports,,4928.09,157,78,0,0,1,9,6
19-12-2022,P018,Apparel,,3134.86,44,20,0,0,0,12,4
30-03-2022,P049,Apparel,,1128.59,30,23,0,0,2,3,8
22-07-2022,P005,Electronics,,8269.38,123,72,0,0,4,7,9
13-11-2023,P021,Apparel,,2751.69,162,58,1,54.4,0,11,12
15-01-2023,P023,Electronics,,2612.66,82,32,1,22.1,6,1,4
20-08-2023,P025,Apparel,,1342.12,77,51,0,0,6,8,5
22-01-2023,P001,Electronics,,24123.36,58,45,0,0,6,1,13
11-01-2023,P021,Apparel,,2764.36,207,58,0,0,2,1,12
15-06-2022,P046,Home,,991.87,245,56,0,0,2,6,2
28-08-2022,P027,Electronics,,11344.61,94,62,0,0,6,8,14
02-01-2022,P004,Apparel,,3388.28,62,40,0,0,6,1,14
21-10-2022,P006,Electronics,,100465.2,235,79,0,0,4,10,13
13-06-2022,P047,Electronics,,16173.86,86,21,0,0,0,6,6
07-05-2022,P030,Electronics,,23448.46,200,64,0,0,5,5,10
30-08-2023,P032,Electronics,,6961.43,90,39,0,0,2,8,12
19-12-2022,P045,Electronics,26,163626.9,83,21,0,0,0,12,13
12-02-2023,P050,Electronics,15,19325.55,136,78,0,0,6,2,2
18-12-2023,P001,Electronics,37,23709.27,138,45,0,0,0,12,13
19-11-2022,P006,Electronics,32,9906.6,286,79,0,0,5,11,13
27-12-2023,P043,Electronics,36,13650.4,284,68,0,0,2,12,6
02-07-2022,P038,Electronics,23,12795.27,116,52,0,0,5,7,4
17-09-2023,P003,Home,29,4723.9,257,79,0,0,6,9,10
06-01-2023,P034,Sports,19,2494.81,54,52,0,0,4,1,2
27-03-2022,P004,Apparel,30,3373.2,163,40,0,0,6,3,14
08-08-2022,P035,Sports,25,1732.74,236,76,0,0,0,8,5
21-05-2023,P036,Beauty,42,972.61,82,22,0,0,6,5,8
30-03-2022,P032,Electronics,19,6828.01,101,39,0,0,2,3,12
12-01-2023,P022,Electronics,17,14105.74,131,34,0,0,3,1,11
22-05-2023,P039,Home,31,2641.69,52,43,0,0,0,5,12
29-04-2023,P031,Apparel,35,721.74,137,47,0,0,5,4,13
10-07-2023,P001,Electronics,19,23619.66,118,45,0,0,0,7,13
19-06-2023,P005,Electronics,10,8003.85,294,72,0,0,0,6,9
14-07-2022,P035,Sports,15,1762.25,261,76,0,0,3,7,5
09-01-2023,P016,Electronics,13,8937.78,134,43,0,0,0,1,6
21-03-2022,P018,Apparel,29,3062.35,36,20,0,0,0,3,4
06-04-2023,P018,Apparel,29,3202.42,47,20,0,0,3,4,4
31-01-2022,P043,Electronics,13,13450.08,84,68,0,0,0,1,6
17-10-2022,P016,Electronics,24,9369.59,57,43,0,0,0,10,6
16-08-2023,P012,Sports,28,4755.86,294,78,0,0,2,8,6
24-11-2023,P011,Electronics,43,6452.45,50,27,1,24.4,4,11,4
07-03-2023,P050,Electronics,10,19753.52,276,78,0,0,1,3,2
01-11-2022,P041,Electronics,36,18336.33,213,68,0,0,1,11,2
09-03-2023,P044,Sports,25,20386.2,58,36,1,11,3,3,12
04-04-2022,P017,Electronics,14,18279.89,138,59,0,0,0,4,7
11-03-2022,P005,Electronics,18,8256.41,129,72,0,0,4,3,9
11-02-2023,P043,Electronics,20,13837.76,174,68,0,0,5,2,6
19-06-2023,P045,Electronics,25,15763.03,28,21,0,0,0,6,13
04-05-2023,P032,Electronics,24,7223.12,66,39,0,0,3,5,12
10-06-2022,P048,Apparel,32,1953.43,103,51,0,0,4,6,7
20-10-2022,P016,Electronics,27,9190.72,144,43,0,0,3,10,6
22-01-2023,P031,Apparel,27,738.45,116,47,0,0,6,1,13
21-06-2023,P013,Beauty,34,2259.11,142,77,0,0,2,6,10
23-12-2022,P018,Apparel,40,3212.83,61,20,0,0,4,12,4
10-08-2023,P047,Electronics,14,16479.49,78,21,0,0,3,8,6
11-01-2022,P036,Beauty,37,996.47,96,22,0,0,1,1,8
19-08-2023,P024,Electronics,22,2747.65,70,58,0,0,5,8,2
13-06-2023,P039,Home,21,2554.98,129,43,0,0,1,6,12
22-04-2023,P030,Electronics,25,24033.29,120,64,0,0,5,4,10
18-12-2023,P024,Electronics,31,2782.69,100,58,0,0,0,12,2
14-08-2022,P047,Electronics,18,16952.52,83,21,0,0,6,8,6
01-12-2023,P033,Electronics,32,9416.13,181,74,0,0,4,12,13
10-05-2023,P005,Electronics,23,8020.78,224,72,0,0,2,5,9
06-11-2022,P017,Electronics,38,19295.72,101,59,0,0,6,11,7
26-10-2023,P030,Electronics,42,23216.59,106,64,0,0,3,10,10
27-10-2022,P042,Apparel,51,1197.97,118,31,0,0,3,10,8
26-08-2022,P002,Sports,24,5623.35,228,55,0,0,4,8,9
28-01-2023,P026,Home,22,7113.38,116,42,0,0,5,1,8
22-01-2022,P010,Home,21,2027.49,163,43,0,0,5,1,12
28-05-2022,P032,Electronics,33,6962.56,111,39,0,0,5,5,12
08-11-2022,P012,Sports,36,4736.97,150,78,0,0,1,11,6
08-04-2023,P004,Apparel,26,34224.3,104,40,0,0,5,4,14
24-03-2022,P023,Electronics,22,2608.92,43,32,0,0,3,3,4
16-02-2023,P014,Electronics,16,23697.45,99,28,0,0,3,2,9
28-11-2022,P004,Apparel,74,3349.39,141,40,1,22.6,0,11,14
23-07-2023,P004,Apparel,32,3282.44,115,40,0,0,6,7,14
20-04-2023,P016,Electronics,25,8925.62,171,43,0,0,3,4,6
19-10-2023,P013,Beauty,91,2305.56,144,77,1,38.7,3,10,10
25-10-2022,P021,Apparel,43,2752.03,173,58,1,18.2,1,10,12
01-03-2022,P028,Apparel,24,1133.2,105,51,0,0,1,3,8
17-08-2023,P019,Apparel,33,757.81,98,33,0,0,3,8,4
31-12-2023,P001,Electronics,34,24327.33,53,45,0,0,6,12,13
28-09-2023,P019,Apparel,36,778.85,101,33,0,0,3,9,4
31-10-2022,P032,Electronics,35,6953.93,55,39,0,0,0,10,12
15-05-2023,P015,Electronics,24,12030.32,157,52,0,0,0,5,8
14-06-2022,P011,Electronics,18,6477.14,66,27,0,0,1,6,4
15-06-2022,P042,Apparel,37,1193.11,41,31,0,0,2,6,8
28-02-2022,P018,Apparel,21,3238.31,27,20,0,0,0,2,4
14-03-2022,P001,Electronics,15,24819.51,82,45,0,0,0,3,13
27-01-2022,P033,Electronics,23,9413.85,325,74,0,0,3,1,13
02-12-2022,P037,Electronics,36,5840.99,102,46,0,0,4,12,10
07-07-2022,P038,Electronics,14,13344.78,63,52,0,0,3,7,4
28-10-2022,P012,Sports,25,4763.55,284,78,0,0,4,10,6
21-09-2022,P001,Electronics,15,23724.24,209,45,0,0,2,9,13
21-04-2023,P015,Electronics,13,12136.29,231,52,0,0,4,4,8
29-09-2022,P023,Electronics,21,2534.62,88,32,0,0,3,9,4
18-08-2022,P016,Electronics,16,9181.69,112,43,0,0,3,8,6
29-04-2022,P050,Electronics,16,19869.93,193,78,0,0,4,4,2
20-03-2023,P039,Home,20,2526.4,151,43,0,0,0,3,12
05-08-2023,P029,Apparel,37,1283.14,176,41,0,0,5,8,13
08-12-2022,P015,Electronics,28,12492.21,101,52,0,0,3,12,8
09-08-2022,P006,Electronics,14,10040.23,92,79,0,0,1,8,13
23-07-2023,P018,Apparel,37,3167.6,43,20,0,0,6,7,4
27-02-2023,P033,Electronics,17,9708.62,116,74,0,0,0,2,13
20-02-2023,P035,Sports,20,1760.68,100,76,0,0,0,2,5
14-11-2022,P029,Apparel,48,1336.48,106,41,0,0,0,11,13
11-03-2023,P040,Apparel,28,1432.95,58,51,0,0,5,3,9
29-01-2022,P014,Electronics,16,23650.09,85,28,0,0,5,1,9
03-05-2022,P034,Sports,25,2451.87,106,52,0,0,1,5,2
27-11-2023,P013,Beauty,122,2281.85,102,77,1,47.2,0,11,10
03-01-2022,P048,Apparel,29,1947.6,111,51,0,0,0,1,7
22-10-2023,P023,Electronics,34,2512.72,120,32,0,0,6,10,4
26-01-2022,P035,Sports,17,1707.61,100,76,0,0,2,1,5
05-02-2023,P022,Electronics,14,14360.64,84,34,0,0,6,2,11
27-03-2023,P028,Apparel,24,1108.29,74,51,0,0,0,3,8
08-01-2022,P010,Home,21,2101.06,83,43,0,0,5,1,12
14-04-2023,P003,Home,17,4926.09,195,79,0,0,4,4,10
11-08-2023,P029,Apparel,32,1328.35,144,41,0,0,4,8,13
19-01-2022,P042,Apparel,23,1178.28,66,31,0,0,2,1,8
18-03-2023,P004,Apparel,36,3324.02,42,40,0,0,5,3,14
17-10-2022,P020,Electronics,32,19507.02,86,45,0,0,0,10,8
09-10-2022,P048,Apparel,54,1863.35,100,51,0,0,6,10,7
21-11-2023,P032,Electronics,38,7127.69,131,39,0,0,1,11,12
02-05-2022,P024,Electronics,18,2680.44,145,58,0,0,0,5,2
31-07-2022,P023,Electronics,17,2567.39,121,32,0,0,6,7,4
29-11-2022,P026,Home,42,7152.42,56,42,0,0,1,11,8
07-06-2022,P045,Electronics,20,16031.97,76,21,0,0,1,6,13
02-01-2023,P043,Electronics,15,13307.04,302,68,0,0,0,1,6
31-12-2022,P049,Apparel,69,1175.42,76,23,0,0,5,12,8
13-02-2023,P020,Electronics,9,19710.4,55,45,0,0,0,2,8
23-04-2022,P048,Apparel,38,1925.3,204,51,0,0,5,4,7
23-08-2023,P016,Electronics,13,9072.15,124,43,0,0,2,8,6
21-04-2023,P012,Sports,34,4703.49,137,78,0,0,4,4,6
08-07-2022,P031,Apparel,23,715.39,57,47,0,0,4,7,13
14-03-2022,P029,Apparel,27,1319.61,123,41,0,0,0,3,13
04-01-2022,P042,Apparel,17,1192.93,32,31,0,0,1,1,8
22-07-2022,P037,Electronics,22,5960.63,204,46,0,0,4,7,10
01-11-2023,P042,Apparel,47,1187.98,58,31,0,0,2,11,8
30-10-2023,P006,Electronics,33,10284.53,203,79,0,0,0,10,13
16-09-2022,P019,Apparel,36,763.91,45,33,0,0,4,9,4
23-07-2022,P038,Electronics,24,13439.23,168,52,0,0,5,7,4
25-04-2023,P011,Electronics,16,6376.64,47,27,0,0,1,4,4
05-03-2022,P035,Sports,27,17200.6,173,76,0,0,5,3,5
14-06-2022,P047,Electronics,22,16538.26,64,21,0,0,1,6,6
04-06-2022,P027,Electronics,21,11571.78,258,62,0,0,5,6,14
21-01-2022,P041,Electronics,16,17876,121,68,0,0,4,1,2
09-09-2022,P018,Apparel,35,3124.29,68,20,0,0,4,9,4
18-07-2022,P023,Electronics,20,2532.02,50,32,0,0,0,7,4
21-03-2023,P020,Electronics,9,19386.47,203,45,0,0,1,3,8
26-01-2022,P002,Sports,19,5547.89,224,55,0,0,2,1,9
17-05-2023,P047,Electronics,16,17077.88,65,21,0,0,2,5,6
01-05-2022,P039,Home,25,2629.51,123,43,0,0,6,5,12
27-08-2023,P015,Electronics,29,12603.12,139,52,0,0,6,8,8
07-09-2022,P020,Electronics,20,19197.16,49,45,0,0,2,9,8
10-11-2023,P035,Sports,31,1725.92,158,76,0,0,4,11,5
06-07-2022,P002,Sports,24,5791.77,100,55,0,0,2,7,9
09-09-2023,P008,Beauty,57,2089.4,76,20,0,0,5,9,10
28-11-2022,P022,Electronics,42,14242.26,88,34,1,30.8,0,11,11
03-04-2023,P017,Electronics,26,18604.51,223,59,0,0,0,4,7
17-12-2022,P025,Apparel,70,1357.6,76,51,0,0,5,12,5
19-10-2023,P003,Home,28,4809.34,133,79,1,17.3,3,10,10
